subsample,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,mean_test_score,std_test_score,mean_train_score,rank_test_score,mean_fit_time,swept_at,cv_folds,scale_pos_weight
1.0,300,5,8,0.05,0.1,0.6,,,,1,4.8888,2026-07-12 01:00,5,2.87
0.8,100,3,6,0.01,0.1,1.0,,,,1,2.1621,2026-07-12 01:00,5,2.87
0.8,100,1,6,0.2,0.3,0.8,,,,1,1.639,2026-07-12 01:00,5,2.87
0.8,300,3,6,0.2,0.1,1.0,,,,1,4.5508,2026-07-12 01:00,5,2.87
1.0,300,5,3,0.01,0.3,0.6,,,,1,3.3349,2026-07-12 01:00,5,2.87
1.0,500,1,3,0.2,0.3,1.0,,,,1,4.2218,2026-07-12 01:00,5,2.87
0.6,500,3,8,0.01,0.1,0.8,,,,1,9.0687,2026-07-12 01:00,5,2.87
0.6,200,3,6,0.01,0.1,0.8,,,,1,3.6999,2026-07-12 01:00,5,2.87
0.8,100,3,4,0.05,0.1,0.6,,,,1,1.4036,2026-07-12 01:00,5,2.87
1.0,200,5,6,0.2,0.3,0.6,,,,1,2.3417,2026-07-12 01:00,5,2.87
0.8,500,3,8,0.01,0.0,0.6,,,,1,8.9051,2026-07-12 01:00,5,2.87
0.6,200,1,4,0.01,0.3,0.8,,,,1,2.896,2026-07-12 01:00,5,2.87
0.6,200,1,3,0.1,0.3,0.8,,,,1,2.2263,2026-07-12 01:00,5,2.87
0.6,100,5,8,0.2,0.3,0.8,,,,1,2.0246,2026-07-12 01:00,5,2.87
0.8,500,5,6,0.1,0.1,1.0,,,,1,7.5992,2026-07-12 01:00,5,2.87
0.8,500,5,3,0.2,0.0,0.6,,,,1,5.0293,2026-07-12 01:00,5,2.87
1.0,300,5,4,0.05,0.3,0.8,,,,1,3.2707,2026-07-12 01:00,5,2.87
0.8,200,5,3,0.1,0.0,1.0,,,,1,2.1888,2026-07-12 01:00,5,2.87
0.8,300,3,6,0.05,0.3,1.0,,,,1,3.9662,2026-07-12 01:00,5,2.87
0.6,100,5,3,0.01,0.3,0.8,,,,1,1.3806,2026-07-12 01:00,5,2.87
